order_number,order_id,ship_date,ship_mode,address_id
9914,CA-2017-128734,2017-12-31,Standard Class,ADD-00492
9913,CA-2017-147956,2017-12-31,Standard Class,ADD-00622
9912,CA-2017-169978,2017-12-28,Standard Class,ADD-00063
9911,US-2017-162670,2017-12-28,Second Class,ADD-00386
9910,CA-2017-110625,2017-12-30,Standard Class,ADD-00033
9909,US-2017-162670,2017-12-28,Second Class,ADD-00386
9908,CA-2017-140627,2017-12-27,Standard Class,ADD-00194
9907,US-2017-123463,2017-12-23,Same Day,ADD-00578
9906,CA-2017-140627,2017-12-27,Standard Class,ADD-00194
9905,US-2017-162670,2017-12-28,Second Class,ADD-00386
9904,CA-2017-117443,2017-12-25,Second Class,ADD-00351
9903,US-2017-162670,2017-12-28,Second Class,ADD-00386
9902,CA-2017-117443,2017-12-25,Second Class,ADD-00351
9901,CA-2017-140627,2017-12-27,Standard Class,ADD-00194
9900,CA-2017-127929,2017-12-27,Standard Class,ADD-00029
9899,CA-2017-121216,2017-12-25,Second Class,ADD-00440
9898,CA-2017-121216,2017-12-25,Second Class,ADD-00440
9897,US-2017-162670,2017-12-28,Second Class,ADD-00386
9896,CA-2017-150910,2017-12-28,Standard Class,ADD-00205
9895,CA-2017-150910,2017-12-28,Standard Class,ADD-00205
9894,CA-2017-150910,2017-12-28,Standard Class,ADD-00205
9893,CA-2017-155376,2017-12-27,Standard Class,ADD-00363
9892,CA-2017-150910,2017-12-28,Standard Class,ADD-00205
9891,CA-2017-150910,2017-12-28,Standard Class,ADD-00205
9890,CA-2017-145310,2017-12-24,Second Class,ADD-00147
9889,CA-2017-142909,2017-12-25,Second Class,ADD-00491
9888,CA-2017-119193,2017-12-24,First Class,ADD-00226
9887,CA-2017-115931,2017-12-26,Standard Class,ADD-00509
9886,CA-2017-146164,2017-12-26,Standard Class,ADD-00312
9885,CA-2017-146164,2017-12-26,Standard Class,ADD-00312
9884,CA-2017-120376,2017-12-25,First Class,ADD-00269
9883,CA-2017-120376,2017-12-25,First Class,ADD-00269
9882,CA-2017-115931,2017-12-26,Standard Class,ADD-00509
9881,CA-2017-100412,2017-12-26,Standard Class,ADD-00185
9880,CA-2017-120376,2017-12-25,First Class,ADD-00269
9879,CA-2017-120376,2017-12-25,First Class,ADD-00269
9878,CA-2017-104927,2017-12-26,Standard Class,ADD-00426
9877,CA-2017-149699,2017-12-24,First Class,ADD-00516
9876,CA-2017-119193,2017-12-24,First Class,ADD-00226
9875,CA-2017-104927,2017-12-26,Standard Class,ADD-00426
9874,CA-2017-119578,2017-12-27,Second Class,ADD-00017
9873,CA-2017-115931,2017-12-26,Standard Class,ADD-00509
9872,CA-2017-119578,2017-12-27,Second Class,ADD-00017
9871,CA-2017-104927,2017-12-26,Standard Class,ADD-00426
9870,CA-2017-115931,2017-12-26,Standard Class,ADD-00509
9869,CA-2017-138380,2017-12-25,Standard Class,ADD-00589
9868,CA-2017-137456,2017-12-21,Same Day,ADD-00373
9867,CA-2017-165841,2017-12-28,Standard Class,ADD-00044
9866,CA-2017-165841,2017-12-28,Standard Class,ADD-00044
9865,CA-2017-165841,2017-12-28,Standard Class,ADD-00044
9864,CA-2017-144827,2017-12-27,Standard Class,ADD-00557
9863,CA-2017-163405,2017-12-25,Standard Class,ADD-00520
9862,CA-2017-163405,2017-12-25,Standard Class,ADD-00520
9861,CA-2017-106782,2017-12-27,Standard Class,ADD-00257
9860,CA-2017-107461,2017-12-26,Second Class,ADD-00129
9859,CA-2017-109589,2017-12-24,First Class,ADD-00216
9858,CA-2017-105480,2017-12-26,Standard Class,ADD-00072
9857,CA-2017-105480,2017-12-26,Standard Class,ADD-00072
9856,CA-2017-102197,2017-12-26,Standard Class,ADD-00053
9855,CA-2017-102197,2017-12-26,Standard Class,ADD-00053
9854,CA-2017-102197,2017-12-26,Standard Class,ADD-00053
9853,CA-2017-116946,2017-12-23,Standard Class,ADD-00464
9852,CA-2017-158729,2017-12-21,First Class,ADD-00378
9851,CA-2017-128160,2017-12-24,Second Class,ADD-00579
9850,CA-2017-116946,2017-12-23,Standard Class,ADD-00464
9849,CA-2017-116946,2017-12-23,Standard Class,ADD-00464
9848,CA-2017-164000,2017-12-22,Standard Class,ADD-00081
9847,CA-2017-102099,2017-12-19,First Class,ADD-00516
9846,CA-2017-102099,2017-12-19,First Class,ADD-00516
9845,CA-2017-102099,2017-12-19,First Class,ADD-00516
9844,CA-2017-140585,2017-12-23,Second Class,ADD-00540
9843,CA-2017-140585,2017-12-23,Second Class,ADD-00540
9842,CA-2017-115602,2017-12-24,Standard Class,ADD-00053
9841,CA-2017-156664,2017-12-23,Standard Class,ADD-00223
9840,CA-2017-115602,2017-12-24,Standard Class,ADD-00053
9839,CA-2017-156664,2017-12-23,Standard Class,ADD-00223
9838,CA-2017-143252,2017-12-24,Standard Class,ADD-00293
9837,CA-2017-143252,2017-12-24,Standard Class,ADD-00293
9836,CA-2017-156664,2017-12-23,Standard Class,ADD-00223
9835,CA-2017-140585,2017-12-23,Second Class,ADD-00540
9834,CA-2017-105886,2017-12-23,Standard Class,ADD-00063
9833,CA-2017-108287,2017-12-20,First Class,ADD-00123
9832,CA-2017-156664,2017-12-23,Standard Class,ADD-00223
9831,CA-2017-158736,2017-12-24,Standard Class,ADD-00579
9830,CA-2017-115602,2017-12-24,Standard Class,ADD-00053
9829,CA-2017-115602,2017-12-24,Standard Class,ADD-00053
9828,US-2017-116701,2017-12-21,Second Class,ADD-00412
9827,CA-2017-107342,2017-12-22,Standard Class,ADD-00253
9826,CA-2017-130309,2017-12-21,Standard Class,ADD-00097
9825,CA-2017-120936,2017-12-21,Standard Class,ADD-00565
9824,CA-2017-120936,2017-12-21,Standard Class,ADD-00565
9823,CA-2017-133431,2017-12-21,Standard Class,ADD-00580
9822,CA-2017-133431,2017-12-21,Standard Class,ADD-00580
9821,CA-2017-116855,2017-12-21,Standard Class,ADD-00103
9820,CA-2017-103443,2017-12-23,Standard Class,ADD-00053
9819,CA-2017-103443,2017-12-23,Standard Class,ADD-00053
9818,CA-2017-103443,2017-12-23,Standard Class,ADD-00053
9817,CA-2017-106964,2017-12-20,First Class,ADD-00519
9816,CA-2017-155362,2017-12-21,Standard Class,ADD-00299
9815,CA-2017-137463,2017-12-20,Second Class,ADD-00577
9814,CA-2017-137463,2017-12-20,Second Class,ADD-00577
9813,CA-2017-111808,2017-12-20,Standard Class,ADD-00396
9812,CA-2017-137428,2017-12-21,Second Class,ADD-00543
9811,CA-2017-137428,2017-12-21,Second Class,ADD-00543
9810,CA-2017-137428,2017-12-21,Second Class,ADD-00543
9809,CA-2017-137428,2017-12-21,Second Class,ADD-00543
9808,CA-2017-137463,2017-12-20,Second Class,ADD-00577
9807,CA-2017-137463,2017-12-20,Second Class,ADD-00577
9806,CA-2017-104381,2017-12-23,Standard Class,ADD-00072
9805,CA-2017-137463,2017-12-20,Second Class,ADD-00577
9804,CA-2017-161578,2017-12-21,Second Class,ADD-00518
9803,CA-2017-161578,2017-12-21,Second Class,ADD-00518
9802,CA-2017-136063,2017-12-19,Standard Class,ADD-00338
9801,CA-2017-119564,2017-12-20,Standard Class,ADD-00623
9800,CA-2017-154116,2017-12-19,Standard Class,ADD-00522
9799,CA-2017-154116,2017-12-19,Standard Class,ADD-00522
9798,CA-2017-154116,2017-12-19,Standard Class,ADD-00522
9797,CA-2017-151799,2017-12-18,Standard Class,ADD-00005
9796,CA-2017-151799,2017-12-18,Standard Class,ADD-00005
9795,CA-2017-151799,2017-12-18,Standard Class,ADD-00005
9794,CA-2017-122595,2017-12-20,Standard Class,ADD-00349
9793,CA-2017-169859,2017-12-18,Standard Class,ADD-00540
9792,CA-2017-169859,2017-12-18,Standard Class,ADD-00540
9791,CA-2017-169859,2017-12-18,Standard Class,ADD-00540
9790,US-2017-113992,2017-12-19,Standard Class,ADD-00401
9789,CA-2017-151799,2017-12-18,Standard Class,ADD-00005
9788,CA-2017-151799,2017-12-18,Standard Class,ADD-00005
9787,CA-2017-107629,2017-12-14,Same Day,ADD-00330
9786,CA-2017-122595,2017-12-20,Standard Class,ADD-00349
9785,CA-2017-122595,2017-12-20,Standard Class,ADD-00349
9784,CA-2017-107629,2017-12-14,Same Day,ADD-00330
9783,CA-2017-107629,2017-12-14,Same Day,ADD-00330
9782,CA-2017-107629,2017-12-14,Same Day,ADD-00330
9781,CA-2017-147333,2017-12-20,Standard Class,ADD-00388
9780,CA-2017-147333,2017-12-20,Standard Class,ADD-00388
9779,CA-2017-135377,2017-12-18,Standard Class,ADD-00055
9778,CA-2017-107986,2017-12-13,Same Day,ADD-00621
9777,CA-2017-122770,2017-12-18,Standard Class,ADD-00580
9776,CA-2017-122770,2017-12-18,Standard Class,ADD-00580
9775,CA-2017-122770,2017-12-18,Standard Class,ADD-00580
9774,CA-2017-122770,2017-12-18,Standard Class,ADD-00580
9773,CA-2017-162565,2017-12-11,Same Day,ADD-00344
9772,CA-2017-162565,2017-12-11,Same Day,ADD-00344
9771,CA-2017-142776,2017-12-14,Second Class,ADD-00288
9770,CA-2017-101798,2017-12-15,Standard Class,ADD-00053
9769,CA-2017-101798,2017-12-15,Standard Class,ADD-00053
9768,CA-2017-168389,2017-12-17,Standard Class,ADD-00150
9767,CA-2017-142776,2017-12-14,Second Class,ADD-00288
9766,CA-2017-162565,2017-12-11,Same Day,ADD-00344
9765,CA-2017-168389,2017-12-17,Standard Class,ADD-00150
9764,CA-2017-168389,2017-12-17,Standard Class,ADD-00150
9763,CA-2017-168389,2017-12-17,Standard Class,ADD-00150
9762,CA-2017-100230,2017-12-15,Standard Class,ADD-00056
9761,CA-2017-153871,2017-12-17,Standard Class,ADD-00041
9760,CA-2017-149706,2017-12-12,First Class,ADD-00328
9759,US-2017-125213,2017-12-13,First Class,ADD-00044
9758,CA-2017-165099,2017-12-13,First Class,ADD-00454
9757,CA-2017-100230,2017-12-15,Standard Class,ADD-00056
9756,US-2017-160759,2017-12-17,Standard Class,ADD-00080
9755,CA-2017-153871,2017-12-17,Standard Class,ADD-00041
9754,CA-2017-153871,2017-12-17,Standard Class,ADD-00041
9753,CA-2017-129581,2017-12-18,Standard Class,ADD-00014
9752,CA-2017-100230,2017-12-15,Standard Class,ADD-00056
9751,CA-2017-107748,2017-12-12,Second Class,ADD-00593
9750,CA-2017-148922,2017-12-15,Second Class,ADD-00208
9749,CA-2017-148922,2017-12-15,Second Class,ADD-00208
9748,US-2017-110149,2017-12-13,First Class,ADD-00083
9747,US-2017-110149,2017-12-13,First Class,ADD-00083
9746,US-2017-140907,2017-12-12,Second Class,ADD-00621
9745,CA-2017-152695,2017-12-10,Same Day,ADD-00034
9744,CA-2017-158967,2017-12-12,First Class,ADD-00171
9743,CA-2017-152695,2017-12-10,Same Day,ADD-00034
9742,CA-2017-167150,2017-12-17,Standard Class,ADD-00542
9741,CA-2017-148922,2017-12-15,Second Class,ADD-00208
9740,US-2017-140907,2017-12-12,Second Class,ADD-00621
9739,US-2017-135503,2017-12-15,Standard Class,ADD-00130
9738,CA-2017-157651,2017-12-14,Standard Class,ADD-00080
9737,CA-2017-167150,2017-12-17,Standard Class,ADD-00542
9736,CA-2017-107748,2017-12-12,Second Class,ADD-00593
9735,CA-2017-148446,2017-12-14,Second Class,ADD-00511
9734,US-2017-140907,2017-12-12,Second Class,ADD-00621
9733,CA-2017-143798,2017-12-12,First Class,ADD-00082
9732,CA-2017-143798,2017-12-12,First Class,ADD-00082
9731,CA-2017-108294,2017-12-10,Same Day,ADD-00374
9730,CA-2017-109960,2017-12-11,Second Class,ADD-00270
9729,US-2017-167920,2017-12-12,Second Class,ADD-00213
9728,US-2017-167920,2017-12-12,Second Class,ADD-00213
9727,US-2017-167920,2017-12-12,Second Class,ADD-00213
9726,CA-2017-139199,2017-12-13,Standard Class,ADD-00270
9725,US-2017-167920,2017-12-12,Second Class,ADD-00213
9724,US-2017-167920,2017-12-12,Second Class,ADD-00213
9723,US-2017-167920,2017-12-12,Second Class,ADD-00213
9722,CA-2017-102659,2017-12-15,Standard Class,ADD-00280
9721,US-2017-132927,2017-12-15,Standard Class,ADD-00081
9720,CA-2017-148012,2017-12-15,Standard Class,ADD-00083
9719,CA-2017-129833,2017-12-15,Standard Class,ADD-00245
9718,CA-2017-129833,2017-12-15,Standard Class,ADD-00245
9717,CA-2017-109960,2017-12-11,Second Class,ADD-00270
9716,CA-2017-109960,2017-12-11,Second Class,ADD-00270
9715,CA-2017-109960,2017-12-11,Second Class,ADD-00270
9714,US-2017-103814,2017-12-16,Standard Class,ADD-00329
9713,CA-2017-139402,2017-12-13,Standard Class,ADD-00490
9712,CA-2017-141201,2017-12-11,Second Class,ADD-00575
9711,US-2017-167920,2017-12-12,Second Class,ADD-00213
9710,CA-2017-139402,2017-12-13,Standard Class,ADD-00490
9709,US-2017-118038,2017-12-11,First Class,ADD-00424
9708,US-2017-145366,2017-12-13,Standard Class,ADD-00240
9707,US-2017-145366,2017-12-13,Standard Class,ADD-00240
9706,CA-2017-102407,2017-12-13,Second Class,ADD-00515
9705,CA-2017-108329,2017-12-14,Standard Class,ADD-00524
9704,CA-2017-102407,2017-12-13,Second Class,ADD-00515
9703,US-2017-118038,2017-12-11,First Class,ADD-00424
9702,CA-2017-102407,2017-12-13,Second Class,ADD-00515
9701,CA-2017-139199,2017-12-13,Standard Class,ADD-00270
9700,CA-2017-109715,2017-12-14,Standard Class,ADD-00348
9699,US-2017-118038,2017-12-11,First Class,ADD-00424
9698,CA-2017-139199,2017-12-13,Standard Class,ADD-00270
9697,CA-2017-117457,2017-12-12,Standard Class,ADD-00579
9696,CA-2017-117324,2017-12-13,Standard Class,ADD-00295
9695,CA-2017-117324,2017-12-13,Standard Class,ADD-00295
9694,CA-2017-108854,2017-12-14,Standard Class,ADD-00578
9693,CA-2017-152436,2017-12-10,Second Class,ADD-00018
9692,CA-2017-108854,2017-12-14,Standard Class,ADD-00578
9691,CA-2017-108854,2017-12-14,Standard Class,ADD-00578
9690,CA-2017-108854,2017-12-14,Standard Class,ADD-00578
9689,US-2017-131961,2017-12-11,First Class,ADD-00082
9688,US-2017-131961,2017-12-11,First Class,ADD-00082
9687,CA-2017-117457,2017-12-12,Standard Class,ADD-00579
9686,CA-2017-117926,2017-12-12,Second Class,ADD-00578
9685,CA-2017-117324,2017-12-13,Standard Class,ADD-00295
9684,CA-2017-117457,2017-12-12,Standard Class,ADD-00579
9683,CA-2017-117457,2017-12-12,Standard Class,ADD-00579
9682,CA-2017-117457,2017-12-12,Standard Class,ADD-00579
9681,CA-2017-117324,2017-12-13,Standard Class,ADD-00295
9680,CA-2017-145226,2017-12-10,Second Class,ADD-00056
9679,CA-2017-145226,2017-12-10,Second Class,ADD-00056
9678,CA-2017-145226,2017-12-10,Second Class,ADD-00056
9677,CA-2017-145226,2017-12-10,Second Class,ADD-00056
9676,CA-2017-117457,2017-12-12,Standard Class,ADD-00579
9675,US-2017-167570,2017-12-15,Standard Class,ADD-00082
9674,CA-2017-117324,2017-12-13,Standard Class,ADD-00295
9673,CA-2017-117457,2017-12-12,Standard Class,ADD-00579
9672,CA-2017-117457,2017-12-12,Standard Class,ADD-00579
9671,CA-2017-148264,2017-12-09,First Class,ADD-00522
9670,CA-2017-148264,2017-12-09,First Class,ADD-00522
9669,CA-2017-148264,2017-12-09,First Class,ADD-00522
9668,CA-2017-117457,2017-12-12,Standard Class,ADD-00579
9667,CA-2017-135587,2017-12-12,Standard Class,ADD-00209
9666,CA-2017-135587,2017-12-12,Standard Class,ADD-00209
9665,CA-2017-142328,2017-12-14,Standard Class,ADD-00580
9664,US-2017-136189,2017-12-11,Standard Class,ADD-00102
9663,CA-2017-134285,2017-12-12,Standard Class,ADD-00442
9662,CA-2017-134285,2017-12-12,Standard Class,ADD-00442
9661,CA-2017-157980,2017-12-09,First Class,ADD-00226
9660,CA-2017-137099,2017-12-10,First Class,ADD-00516
9659,US-2017-122714,2017-12-13,Standard Class,ADD-00349
9658,US-2017-149006,2017-12-08,Second Class,ADD-00583
9657,CA-2017-104066,2017-12-10,Standard Class,ADD-00024
9656,CA-2017-156958,2017-12-06,First Class,ADD-00623
9655,CA-2017-105235,2017-12-11,Standard Class,ADD-00054
9654,CA-2017-126865,2017-12-07,Second Class,ADD-00540
9653,CA-2017-117128,2017-12-08,Second Class,ADD-00055
9652,CA-2017-117128,2017-12-08,Second Class,ADD-00055
9651,CA-2017-130351,2017-12-08,First Class,ADD-00253
9650,CA-2017-131212,2017-12-09,Standard Class,ADD-00615
9649,US-2017-126053,2017-12-08,First Class,ADD-00055
9648,CA-2017-105235,2017-12-11,Standard Class,ADD-00054
9647,US-2017-126053,2017-12-08,First Class,ADD-00055
9646,CA-2017-131212,2017-12-09,Standard Class,ADD-00615
9645,CA-2017-130351,2017-12-08,First Class,ADD-00253
9644,CA-2017-105235,2017-12-11,Standard Class,ADD-00054
9643,CA-2017-156958,2017-12-06,First Class,ADD-00623
9642,CA-2017-130351,2017-12-08,First Class,ADD-00253
9641,CA-2017-156958,2017-12-06,First Class,ADD-00623
9640,CA-2017-156958,2017-12-06,First Class,ADD-00623
9639,CA-2017-156958,2017-12-06,First Class,ADD-00623
9638,CA-2017-117667,2017-12-09,Standard Class,ADD-00081
9637,CA-2017-118003,2017-12-10,Standard Class,ADD-00044
9636,CA-2017-156412,2017-12-08,Standard Class,ADD-00081
9635,CA-2017-147550,2017-12-05,First Class,ADD-00081
9634,CA-2017-109183,2017-12-09,Standard Class,ADD-00198
9633,CA-2017-160031,2017-12-07,Second Class,ADD-00238
9632,CA-2017-117667,2017-12-09,Standard Class,ADD-00081
9631,CA-2017-118003,2017-12-10,Standard Class,ADD-00044
9630,CA-2017-153227,2017-12-06,First Class,ADD-00517
9629,US-2017-107384,2017-12-08,Standard Class,ADD-00312
9628,CA-2017-118003,2017-12-10,Standard Class,ADD-00044
9627,CA-2017-152660,2017-12-09,Standard Class,ADD-00347
9626,US-2017-107384,2017-12-08,Standard Class,ADD-00312
9625,US-2017-107384,2017-12-08,Standard Class,ADD-00312
9624,CA-2017-139773,2017-12-04,Same Day,ADD-00083
9623,CA-2017-117667,2017-12-09,Standard Class,ADD-00081
9622,CA-2017-117667,2017-12-09,Standard Class,ADD-00081
9621,CA-2017-117667,2017-12-09,Standard Class,ADD-00081
9620,CA-2017-118017,2017-12-06,Second Class,ADD-00466
9619,CA-2017-118017,2017-12-06,Second Class,ADD-00466
9618,CA-2017-143126,2017-12-07,Second Class,ADD-00623
9617,CA-2017-118017,2017-12-06,Second Class,ADD-00466
9616,CA-2017-118017,2017-12-06,Second Class,ADD-00466
9615,CA-2017-118017,2017-12-06,Second Class,ADD-00466
9614,CA-2017-118017,2017-12-06,Second Class,ADD-00466
9613,CA-2017-103415,2017-12-08,Standard Class,ADD-00424
9612,CA-2017-136875,2017-12-03,Same Day,ADD-00540
9611,CA-2017-118017,2017-12-06,Second Class,ADD-00466
9610,CA-2017-118017,2017-12-06,Second Class,ADD-00466
9609,CA-2017-148691,2017-12-09,Standard Class,ADD-00053
9608,CA-2017-148691,2017-12-09,Standard Class,ADD-00053
9607,CA-2017-123071,2017-12-06,First Class,ADD-00401
9606,US-2017-149510,2017-12-10,Standard Class,ADD-00124
9605,US-2017-149510,2017-12-10,Standard Class,ADD-00124
9604,CA-2017-148691,2017-12-09,Standard Class,ADD-00053
9603,CA-2017-148691,2017-12-09,Standard Class,ADD-00053
9602,US-2017-149510,2017-12-10,Standard Class,ADD-00124
9601,CA-2017-128699,2017-12-05,Second Class,ADD-00150
9600,CA-2017-109701,2017-12-03,Same Day,ADD-00517
9599,CA-2017-165715,2017-12-08,Standard Class,ADD-00112
9598,CA-2017-102379,2017-12-06,Standard Class,ADD-00589
9597,CA-2017-147767,2017-12-02,Same Day,ADD-00498
9596,CA-2017-102379,2017-12-06,Standard Class,ADD-00589
9595,CA-2017-143756,2017-12-05,First Class,ADD-00108
9594,CA-2017-164917,2017-12-07,Standard Class,ADD-00170
9593,CA-2017-116715,2017-12-05,First Class,ADD-00580
9592,CA-2017-155075,2017-12-09,Standard Class,ADD-00082
9591,CA-2017-109701,2017-12-03,Same Day,ADD-00517
9590,US-2017-112347,2017-12-06,Standard Class,ADD-00465
9589,CA-2017-109701,2017-12-03,Same Day,ADD-00517
9588,CA-2017-109701,2017-12-03,Same Day,ADD-00517
9587,US-2017-147221,2017-12-04,Second Class,ADD-00423
9586,CA-2017-109701,2017-12-03,Same Day,ADD-00517
9585,CA-2017-155089,2017-12-06,Standard Class,ADD-00179
9584,US-2017-147221,2017-12-04,Second Class,ADD-00423
9583,CA-2017-157469,2017-12-07,Standard Class,ADD-00231
9582,CA-2017-102379,2017-12-06,Standard Class,ADD-00589
9581,CA-2017-157469,2017-12-07,Standard Class,ADD-00231
9580,CA-2017-104108,2017-12-09,Standard Class,ADD-00426
9579,US-2017-112347,2017-12-06,Standard Class,ADD-00465
9578,US-2017-112347,2017-12-06,Standard Class,ADD-00465
9577,US-2017-112347,2017-12-06,Standard Class,ADD-00465
9576,CA-2017-116715,2017-12-05,First Class,ADD-00580
9575,US-2017-112347,2017-12-06,Standard Class,ADD-00465
9574,US-2017-108063,2017-12-05,First Class,ADD-00100
9573,US-2017-112347,2017-12-06,Standard Class,ADD-00465
9572,CA-2017-167395,2017-12-04,First Class,ADD-00006
9571,CA-2017-116715,2017-12-05,First Class,ADD-00580
9570,US-2017-112347,2017-12-06,Standard Class,ADD-00465
9569,CA-2017-167395,2017-12-04,First Class,ADD-00006
9568,CA-2017-167395,2017-12-04,First Class,ADD-00006
9567,CA-2017-160885,2017-12-06,Standard Class,ADD-00374
9566,CA-2017-166926,2017-12-08,Standard Class,ADD-00622
9565,CA-2017-135860,2017-12-07,Standard Class,ADD-00274
9564,CA-2017-118542,2017-12-05,Standard Class,ADD-00516
9563,CA-2017-163139,2017-12-03,Second Class,ADD-00053
9562,CA-2017-135860,2017-12-07,Standard Class,ADD-00274
9561,CA-2017-163139,2017-12-03,Second Class,ADD-00053
9560,CA-2017-135860,2017-12-07,Standard Class,ADD-00274
9559,CA-2017-135860,2017-12-07,Standard Class,ADD-00274
9558,CA-2017-135860,2017-12-07,Standard Class,ADD-00274
9557,CA-2017-127313,2017-12-04,First Class,ADD-00080
9556,CA-2017-166926,2017-12-08,Standard Class,ADD-00622
9555,CA-2017-127313,2017-12-04,First Class,ADD-00080
9554,CA-2017-101805,2017-12-06,Standard Class,ADD-00622
9553,CA-2017-144862,2017-12-05,Standard Class,ADD-00083
9552,CA-2017-103968,2017-12-07,Standard Class,ADD-00593
9551,CA-2017-113355,2017-12-05,Standard Class,ADD-00404
9550,CA-2017-138618,2017-12-08,Standard Class,ADD-00442
