order_number,order_id,order_date,product_id,sales,quantity,discount,profit
9969,CA-2017-135111,2017-12-28,OFF-AR-10001166,2.48,1,0.0,0.868
9968,CA-2017-135111,2017-12-28,OFF-BI-10004040,25.9,5,0.0,12.691
9967,CA-2017-163979,2017-12-28,OFF-ST-10003208,725.84,4,0.0,210.4936
9966,CA-2017-164826,2017-12-28,TEC-PH-10000347,14.85,3,0.0,4.0095
9965,US-2017-162068,2017-12-28,OFF-BI-10002813,1.188,2,0.7,-0.99
9964,CA-2017-101322,2017-12-28,FUR-CH-10003968,340.704,6,0.2,-34.0704
9963,CA-2017-163860,2017-12-28,OFF-BI-10003784,1.68,5,0.8,-2.688
9962,CA-2017-163860,2017-12-28,FUR-FU-10001935,2.96,2,0.6,-1.406
9961,CA-2017-164826,2017-12-28,OFF-BI-10001922,33.264,7,0.2,11.2266
9960,CA-2017-164826,2017-12-28,OFF-FA-10000585,13.96,4,0.0,6.4216
9959,CA-2017-163860,2017-12-28,FUR-FU-10004586,7.968,3,0.6,-2.3904
9958,CA-2017-163860,2017-12-28,FUR-CH-10004698,113.372,2,0.3,-3.2392
9957,CA-2017-164826,2017-12-28,OFF-LA-10001297,72.45,7,0.0,34.776
9956,CA-2017-134404,2017-12-27,TEC-PH-10000576,164.388,2,0.4,-35.6174
9955,CA-2017-134404,2017-12-27,OFF-AR-10004441,13.248,4,0.2,3.6432
9954,US-2017-106705,2017-12-26,OFF-PA-10001509,44.75,5,0.0,20.585
9953,CA-2017-121741,2017-12-26,OFF-ST-10004459,750.68,2,0.0,37.534
9952,CA-2017-112487,2017-12-26,OFF-BI-10000494,3.132,2,0.7,-2.61
9951,CA-2017-136238,2017-12-26,OFF-PA-10004285,16.032,3,0.2,5.6112
9950,CA-2017-162880,2017-12-25,OFF-BI-10003314,3.856,1,0.2,1.3978
9949,CA-2017-134194,2017-12-25,OFF-BI-10003684,39.582,9,0.8,-59.373
9948,CA-2017-134194,2017-12-25,OFF-BI-10001597,40.98,5,0.8,-65.568
9947,CA-2017-134194,2017-12-25,OFF-AR-10001615,31.744,2,0.2,2.3808
9946,CA-2017-134194,2017-12-25,OFF-SU-10001225,44.688,7,0.2,5.0274
9945,CA-2017-134194,2017-12-25,OFF-BI-10001116,3.168,3,0.8,-5.0688
9944,CA-2017-114055,2017-12-25,TEC-PH-10002890,90.48,2,0.0,23.5248
9943,CA-2017-108756,2017-12-25,TEC-AC-10003237,31.8,3,0.0,13.674
9942,US-2017-147669,2017-12-25,OFF-BI-10000632,13.023,1,0.7,-10.4184
9941,CA-2017-163510,2017-12-25,OFF-ST-10000563,95.94,3,0.0,9.594
9940,CA-2017-146780,2017-12-25,FUR-FU-10001934,41.96,2,0.0,10.9096
9939,CA-2017-121398,2017-12-25,OFF-ST-10002756,270.62,2,0.0,2.7062
9938,CA-2017-163510,2017-12-25,FUR-CH-10001146,304.45,5,0.0,76.1125
9937,CA-2017-121398,2017-12-25,OFF-BI-10001718,153.552,3,0.2,51.8238
9936,US-2017-147669,2017-12-25,TEC-AC-10002473,158.928,7,0.2,41.7186
9935,CA-2017-114055,2017-12-25,OFF-FA-10003059,3.62,2,0.0,1.1946
9934,CA-2017-114055,2017-12-25,OFF-PA-10004381,96.08,2,0.0,46.1184
9933,US-2017-147669,2017-12-25,OFF-FA-10002780,39.312,13,0.2,12.7764
9932,US-2017-147669,2017-12-25,FUR-TA-10002645,273.06,2,0.4,-104.673
9931,CA-2017-105620,2017-12-25,FUR-FU-10004963,21.0,3,0.2,5.775
9930,CA-2017-114055,2017-12-25,OFF-PA-10000994,629.1,6,0.0,301.968
9929,CA-2017-161480,2017-12-25,FUR-BO-10004015,191.984,2,0.2,4.7996
9928,CA-2017-105620,2017-12-25,TEC-MA-10004626,120.0,2,0.5,-7.2
9927,CA-2017-169978,2017-12-24,FUR-CH-10002602,271.764,2,0.1,48.3136
9926,CA-2017-163671,2017-12-24,OFF-BI-10001679,21.312,3,0.2,7.992
9925,CA-2017-117933,2017-12-24,OFF-AP-10004249,35.91,3,0.0,9.6957
9924,CA-2017-128734,2017-12-24,FUR-CH-10001394,842.376,3,0.2,105.297
9923,CA-2017-154935,2017-12-24,OFF-BI-10003708,17.88,3,0.2,5.5875
9922,CA-2017-145219,2017-12-24,OFF-BI-10001670,90.48,3,0.2,33.93
9921,CA-2017-145219,2017-12-24,TEC-CO-10001449,2879.952,6,0.2,1007.9832
9920,CA-2017-169411,2017-12-24,FUR-FU-10001602,37.93,1,0.0,6.8274
9919,CA-2017-121195,2017-12-24,OFF-ST-10000585,264.32,2,0.2,19.824
9918,CA-2017-124296,2017-12-24,FUR-CH-10002439,232.88,4,0.0,60.5488
9917,CA-2017-124296,2017-12-24,TEC-MA-10003183,479.97,3,0.0,239.985
9916,CA-2017-148355,2017-12-24,OFF-PA-10001972,19.44,3,0.0,9.3312
9915,CA-2017-148355,2017-12-24,OFF-BI-10000201,12.3,5,0.0,6.15
9914,CA-2017-128734,2017-12-24,FUR-FU-10001731,8.544,4,0.2,1.9224
9913,CA-2017-147956,2017-12-24,OFF-ST-10001097,1003.62,6,0.0,0.0
9912,CA-2017-169978,2017-12-24,OFF-BI-10001900,14.376,3,0.2,4.8519
9911,US-2017-162670,2017-12-23,OFF-ST-10001522,367.96,4,0.0,14.7184
9910,CA-2017-110625,2017-12-23,FUR-FU-10001473,27.46,2,0.0,9.8856
9909,US-2017-162670,2017-12-23,OFF-PA-10001994,44.96,2,0.0,20.6816
9908,CA-2017-140627,2017-12-23,OFF-ST-10004123,218.352,3,0.2,-54.588
9907,US-2017-123463,2017-12-23,OFF-AR-10001118,13.48,4,0.0,5.9312
9906,CA-2017-140627,2017-12-23,OFF-AR-10000422,12.264,7,0.2,1.0731
9905,US-2017-162670,2017-12-23,TEC-PH-10003601,494.97,3,0.0,148.491
9904,CA-2017-117443,2017-12-23,OFF-BI-10004002,13.84,4,0.8,-22.144
9903,US-2017-162670,2017-12-23,OFF-EN-10001453,182.94,3,0.0,85.9818
9902,CA-2017-117443,2017-12-23,OFF-PA-10004475,175.872,4,0.2,63.7536
9901,CA-2017-140627,2017-12-23,FUR-FU-10000087,72.704,4,0.2,19.0848
9900,CA-2017-127929,2017-12-23,FUR-FU-10003708,181.95,3,0.0,38.2095
9899,CA-2017-121216,2017-12-23,OFF-PA-10004519,28.672,8,0.2,10.3936
9898,CA-2017-121216,2017-12-23,OFF-AP-10001947,29.312,8,0.8,-74.7456
9897,US-2017-162670,2017-12-23,OFF-ST-10001328,62.04,4,0.0,17.3712
9896,CA-2017-150910,2017-12-22,TEC-AC-10001013,46.864,2,0.2,7.6154
9895,CA-2017-150910,2017-12-22,OFF-ST-10000918,26.16,3,0.2,1.962
9894,CA-2017-150910,2017-12-22,FUR-TA-10002903,934.956,6,0.4,-249.3216
9893,CA-2017-155376,2017-12-22,OFF-AP-10001058,839.43,3,0.0,218.2518
9892,CA-2017-150910,2017-12-22,OFF-AP-10003266,59.24,5,0.2,16.291
9891,CA-2017-150910,2017-12-22,OFF-AR-10001419,23.128,7,0.2,2.891
9890,CA-2017-145310,2017-12-22,OFF-EN-10001990,7.824,1,0.2,2.934
9889,CA-2017-142909,2017-12-22,FUR-TA-10003008,182.55,2,0.5,-135.087
9888,CA-2017-119193,2017-12-22,OFF-BI-10000848,1.641,1,0.7,-1.3128
9887,CA-2017-115931,2017-12-22,OFF-AR-10000369,4.17,3,0.0,1.0842
9886,CA-2017-146164,2017-12-22,FUR-TA-10004915,607.52,2,0.0,97.2032
9885,CA-2017-146164,2017-12-22,OFF-ST-10001228,31.16,2,0.0,7.79
9884,CA-2017-120376,2017-12-22,FUR-TA-10004534,411.8,2,0.0,70.006
9883,CA-2017-120376,2017-12-22,TEC-AC-10000844,84.99,1,0.0,30.5964
9882,CA-2017-115931,2017-12-22,OFF-ST-10000876,37.32,3,0.0,10.4496
9881,CA-2017-100412,2017-12-22,FUR-CH-10002647,141.96,2,0.0,35.49
9880,CA-2017-120376,2017-12-22,FUR-CH-10002335,1586.69,7,0.0,412.5394
9879,CA-2017-120376,2017-12-22,TEC-AC-10001114,199.95,5,0.0,63.984
9878,CA-2017-104927,2017-12-22,OFF-PA-10000176,75.88,5,0.2,26.558
9877,CA-2017-149699,2017-12-22,TEC-AC-10000474,474.95,5,0.0,142.485
9876,CA-2017-119193,2017-12-22,TEC-PH-10003072,629.958,7,0.4,94.4937
9875,CA-2017-104927,2017-12-22,OFF-BI-10003429,6.33,5,0.8,-9.8115
9874,CA-2017-119578,2017-12-22,FUR-BO-10003660,220.98,1,0.0,50.8254
9873,CA-2017-115931,2017-12-22,OFF-LA-10001404,18.45,5,0.0,8.6715
9872,CA-2017-119578,2017-12-22,OFF-SU-10003505,695.16,6,0.0,34.758
9871,CA-2017-104927,2017-12-22,OFF-PA-10000019,25.92,5,0.2,9.072
9870,CA-2017-115931,2017-12-22,TEC-PH-10001300,67.04,4,0.2,6.704
9869,CA-2017-138380,2017-12-21,OFF-ST-10003306,1000.02,7,0.0,290.0058
9868,CA-2017-137456,2017-12-21,FUR-FU-10004351,15.92,2,0.0,7.0048
9867,CA-2017-165841,2017-12-21,OFF-SU-10000898,69.5,5,0.0,20.155
9866,CA-2017-165841,2017-12-21,OFF-PA-10001144,166.44,3,0.0,79.8912
9865,CA-2017-165841,2017-12-21,TEC-PH-10002103,281.97,3,0.0,78.9516
9864,CA-2017-144827,2017-12-21,OFF-ST-10004340,124.36,2,0.0,33.5772
9863,CA-2017-163405,2017-12-21,OFF-AR-10003811,6.63,3,0.0,1.7901
9862,CA-2017-163405,2017-12-21,OFF-AR-10001246,5.88,2,0.0,1.7052
9861,CA-2017-106782,2017-12-21,OFF-ST-10004459,375.34,1,0.0,18.767
9860,CA-2017-107461,2017-12-21,OFF-BI-10002003,23.88,6,0.0,11.2236
9859,CA-2017-109589,2017-12-21,TEC-AC-10003116,71.0,4,0.0,27.69
9858,CA-2017-105480,2017-12-20,OFF-BI-10003291,6.984,1,0.2,2.3571
9857,CA-2017-105480,2017-12-20,OFF-PA-10002787,6.48,1,0.0,3.1104
9856,CA-2017-102197,2017-12-20,OFF-PA-10001970,279.9,5,0.0,137.151
9855,CA-2017-102197,2017-12-20,OFF-BI-10001524,50.352,3,0.2,17.6232
9854,CA-2017-102197,2017-12-20,OFF-PA-10004156,34.02,3,0.0,16.6698
9853,CA-2017-116946,2017-12-19,OFF-ST-10002554,78.256,2,0.2,-17.6076
9852,CA-2017-158729,2017-12-19,OFF-SU-10002881,1665.62,2,0.0,33.3124
9851,CA-2017-128160,2017-12-19,OFF-BI-10001510,36.672,2,0.2,11.46
9850,CA-2017-116946,2017-12-19,FUR-BO-10000468,102.018,7,0.7,-183.6324
9849,CA-2017-116946,2017-12-19,FUR-FU-10000320,13.36,5,0.2,4.008
9848,CA-2017-164000,2017-12-18,OFF-AR-10003183,18.704,7,0.2,2.338
9847,CA-2017-102099,2017-12-18,OFF-PA-10000289,32.4,5,0.0,15.552
9846,CA-2017-102099,2017-12-18,OFF-PA-10003172,12.96,2,0.0,6.2208
9845,CA-2017-102099,2017-12-18,OFF-AR-10003811,6.63,3,0.0,1.7901
9844,CA-2017-140585,2017-12-18,OFF-BI-10003364,46.672,2,0.2,16.3352
9843,CA-2017-140585,2017-12-18,FUR-BO-10002206,119.833,1,0.15,-12.6882
9842,CA-2017-115602,2017-12-18,OFF-AR-10001166,38.82,6,0.0,17.469
9841,CA-2017-156664,2017-12-18,OFF-AP-10004487,130.112,2,0.2,13.0112
9840,CA-2017-115602,2017-12-18,FUR-CH-10001708,1141.938,9,0.1,139.5702
9839,CA-2017-156664,2017-12-18,OFF-PA-10002222,91.36,5,0.2,29.692
9838,CA-2017-143252,2017-12-18,FUR-FU-10001057,99.95,5,0.0,22.9885
9837,CA-2017-143252,2017-12-18,TEC-AC-10002331,29.34,3,0.0,10.8558
9836,CA-2017-156664,2017-12-18,OFF-FA-10002988,4.824,3,0.2,1.7487
9835,CA-2017-140585,2017-12-18,TEC-AC-10003610,119.98,2,0.0,57.5904
9834,CA-2017-105886,2017-12-18,FUR-FU-10001037,18.96,2,0.0,8.532
9833,CA-2017-108287,2017-12-18,OFF-AR-10001315,12.672,9,0.2,1.4256
9832,CA-2017-156664,2017-12-18,OFF-BI-10004209,7.236,3,0.7,-6.03
9831,CA-2017-158736,2017-12-18,OFF-AR-10002578,5.76,2,0.0,1.6704
9830,CA-2017-115602,2017-12-18,OFF-AR-10000462,3.2,2,0.0,1.376
9829,CA-2017-115602,2017-12-18,OFF-AP-10000891,1704.56,13,0.0,511.368
9828,US-2017-116701,2017-12-17,OFF-AP-10003217,66.284,2,0.8,-178.9668
9827,CA-2017-107342,2017-12-17,OFF-PA-10001745,28.16,4,0.0,13.2352
9826,CA-2017-130309,2017-12-17,OFF-ST-10003208,544.38,3,0.0,157.8702
9825,CA-2017-120936,2017-12-17,OFF-ST-10001526,481.32,4,0.0,125.1432
9824,CA-2017-120936,2017-12-17,OFF-SU-10002557,13.98,1,0.0,3.6348
9823,CA-2017-133431,2017-12-17,OFF-PA-10002615,13.23,3,0.0,6.0858
9822,CA-2017-133431,2017-12-17,OFF-BI-10000605,15.24,5,0.2,5.1435
9821,CA-2017-116855,2017-12-17,FUR-CH-10003846,504.9,5,0.0,80.784
9820,CA-2017-103443,2017-12-17,FUR-FU-10000308,124.36,2,0.0,27.3592
9819,CA-2017-103443,2017-12-17,OFF-BI-10001617,24.816,3,0.2,8.3754
9818,CA-2017-103443,2017-12-17,OFF-ST-10002276,166.72,2,0.0,41.68
9817,CA-2017-106964,2017-12-17,OFF-BI-10000320,11.808,2,0.2,4.2804
9816,CA-2017-155362,2017-12-17,OFF-ST-10001031,32.56,2,0.0,8.4656
9815,CA-2017-137463,2017-12-16,OFF-AR-10001988,29.95,5,0.0,8.6855
9814,CA-2017-137463,2017-12-16,TEC-AC-10000358,189.95,5,0.0,45.588
9813,CA-2017-111808,2017-12-16,OFF-BI-10004656,10.8,5,0.0,5.184
9812,CA-2017-137428,2017-12-16,FUR-FU-10002445,18.96,2,0.0,7.584
9811,CA-2017-137428,2017-12-16,OFF-BI-10002949,24.32,5,0.2,8.208
9810,CA-2017-137428,2017-12-16,FUR-CH-10003817,97.184,2,0.2,6.074
9809,CA-2017-137428,2017-12-16,FUR-CH-10002774,81.568,2,0.2,9.1764
9808,CA-2017-137463,2017-12-16,OFF-LA-10003498,44.4,3,0.0,22.2
9807,CA-2017-137463,2017-12-16,OFF-BI-10003196,5.984,2,0.2,2.244
9806,CA-2017-104381,2017-12-16,OFF-BI-10001628,33.376,4,0.2,10.43
9805,CA-2017-137463,2017-12-16,TEC-AC-10000057,149.95,5,0.0,31.4895
9804,CA-2017-161578,2017-12-16,OFF-ST-10002289,158.9,5,0.0,7.945
9803,CA-2017-161578,2017-12-16,OFF-PA-10002986,13.36,2,0.0,6.4128
9802,CA-2017-136063,2017-12-15,OFF-AR-10000823,10.192,7,0.2,1.0192
9801,CA-2017-119564,2017-12-15,FUR-FU-10003096,22.77,3,0.0,9.7911
9800,CA-2017-154116,2017-12-15,TEC-PH-10000675,196.776,3,0.2,14.7582
9799,CA-2017-154116,2017-12-15,OFF-AP-10000027,54.32,4,0.0,16.296
9798,CA-2017-154116,2017-12-15,OFF-PA-10004569,22.83,3,0.0,10.7301
9797,CA-2017-151799,2017-12-14,OFF-ST-10002790,73.85,1,0.0,2.2155
9796,CA-2017-151799,2017-12-14,OFF-SU-10001664,25.71,3,0.0,6.6846
9795,CA-2017-151799,2017-12-14,OFF-FA-10001332,17.28,6,0.0,8.1216
9794,CA-2017-122595,2017-12-14,FUR-FU-10002963,2.032,1,0.6,-1.3208
9793,CA-2017-169859,2017-12-14,OFF-EN-10000461,43.7,5,0.0,20.539
9792,CA-2017-169859,2017-12-14,OFF-BI-10000174,64.96,14,0.2,22.736
9791,CA-2017-169859,2017-12-14,FUR-FU-10004963,26.25,3,0.0,11.025
9790,US-2017-113992,2017-12-14,FUR-TA-10000577,974.988,4,0.3,-97.4988
9789,CA-2017-151799,2017-12-14,TEC-CO-10002313,1199.98,2,0.0,467.9922
9788,CA-2017-151799,2017-12-14,FUR-TA-10003473,526.582,2,0.3,-52.6582
9787,CA-2017-107629,2017-12-14,OFF-AR-10002987,95.232,6,0.2,24.9984
9786,CA-2017-122595,2017-12-14,TEC-AC-10000474,227.976,3,0.2,28.497
9785,CA-2017-122595,2017-12-14,TEC-PH-10003095,52.68,3,0.2,19.755
9784,CA-2017-107629,2017-12-14,TEC-AC-10004510,39.264,3,0.2,-4.908
9783,CA-2017-107629,2017-12-14,FUR-FU-10004091,56.328,3,0.6,-26.7558
9782,CA-2017-107629,2017-12-14,FUR-FU-10002298,266.352,6,0.6,-292.9872
9781,CA-2017-147333,2017-12-14,TEC-AC-10003038,44.75,5,0.0,8.5025
9780,CA-2017-147333,2017-12-14,TEC-AC-10004469,159.8,4,0.0,70.312
9779,CA-2017-135377,2017-12-13,FUR-BO-10004015,287.976,3,0.2,7.1994
9778,CA-2017-107986,2017-12-13,OFF-ST-10001325,31.44,3,0.0,8.4888
9777,CA-2017-122770,2017-12-13,OFF-PA-10003172,38.88,6,0.0,18.6624
9776,CA-2017-122770,2017-12-13,OFF-LA-10004559,8.64,3,0.0,4.2336
9775,CA-2017-122770,2017-12-13,OFF-PA-10000232,12.96,2,0.0,6.3504
9774,CA-2017-122770,2017-12-13,FUR-FU-10001473,201.04,8,0.0,54.2808
9773,CA-2017-162565,2017-12-11,FUR-CH-10003973,520.464,2,0.3,-14.8704
9772,CA-2017-162565,2017-12-11,OFF-PA-10001937,10.368,2,0.2,3.6288
9771,CA-2017-142776,2017-12-11,OFF-EN-10003160,7.28,1,0.0,3.4944
9770,CA-2017-101798,2017-12-11,OFF-BI-10000050,23.36,4,0.2,7.884
9769,CA-2017-101798,2017-12-11,TEC-AC-10001998,39.98,2,0.0,13.5932
9768,CA-2017-168389,2017-12-11,FUR-TA-10004289,721.875,6,0.45,-420.0
9767,CA-2017-142776,2017-12-11,OFF-BI-10002012,5.4,3,0.0,2.592
9766,CA-2017-162565,2017-12-11,FUR-FU-10004306,77.72,1,0.6,-66.062
9765,CA-2017-168389,2017-12-11,OFF-AR-10001958,13.584,1,0.2,1.3584
9764,CA-2017-168389,2017-12-11,FUR-CH-10000225,64.784,1,0.2,-12.147
9763,CA-2017-168389,2017-12-11,TEC-PH-10003555,73.568,4,0.2,-16.5528
9762,CA-2017-100230,2017-12-11,OFF-BI-10002498,14.952,1,0.2,5.0463
9761,CA-2017-153871,2017-12-11,OFF-BI-10004209,40.2,5,0.0,18.09
9760,CA-2017-149706,2017-12-11,TEC-AC-10001284,116.312,7,0.2,23.2624
9759,US-2017-125213,2017-12-11,OFF-FA-10001561,6.54,3,0.0,2.1582
9758,CA-2017-165099,2017-12-11,OFF-AP-10001634,1.392,2,0.8,-3.7584
9757,CA-2017-100230,2017-12-11,OFF-PA-10002245,17.94,3,0.0,8.073
9756,US-2017-160759,2017-12-11,FUR-CH-10002961,63.686,1,0.3,-9.098
9755,CA-2017-153871,2017-12-11,OFF-BI-10004600,735.98,2,0.0,331.191
9754,CA-2017-153871,2017-12-11,OFF-AP-10003622,22.75,7,0.0,6.5975
9753,CA-2017-129581,2017-12-11,TEC-PH-10001527,128.85,3,0.0,3.8655
9752,CA-2017-100230,2017-12-11,TEC-PH-10004522,116.98,2,0.0,29.245
9751,CA-2017-107748,2017-12-10,OFF-PA-10002005,12.96,2,0.0,6.2208
9750,CA-2017-148922,2017-12-10,OFF-BI-10003476,45.84,8,0.0,22.0032
9749,CA-2017-148922,2017-12-10,TEC-PH-10000148,38.97,3,0.0,0.7794
9748,US-2017-110149,2017-12-10,OFF-BI-10000014,3.273,1,0.7,-2.5093
9747,US-2017-110149,2017-12-10,FUR-FU-10001475,87.92,5,0.2,15.386
9746,US-2017-140907,2017-12-10,TEC-AC-10004510,49.08,3,0.0,4.908
9745,CA-2017-152695,2017-12-10,OFF-EN-10004030,10.86,3,0.0,5.1042
9744,CA-2017-158967,2017-12-10,FUR-FU-10004351,19.104,3,0.2,5.7312
9743,CA-2017-152695,2017-12-10,OFF-AP-10000026,426.79,7,0.0,123.7691
9742,CA-2017-167150,2017-12-10,OFF-BI-10001597,65.568,2,0.2,22.9488
9741,CA-2017-148922,2017-12-10,TEC-AC-10001838,599.97,3,0.0,257.9871
9740,US-2017-140907,2017-12-10,OFF-ST-10000060,324.9,5,0.0,38.988
9739,US-2017-135503,2017-12-10,FUR-FU-10002364,14.76,2,0.0,4.2804
9738,CA-2017-157651,2017-12-10,TEC-AC-10003116,14.2,1,0.2,3.3725
9737,CA-2017-167150,2017-12-10,OFF-BI-10001097,19.936,4,0.2,7.2268
9736,CA-2017-107748,2017-12-10,TEC-PH-10003215,95.84,4,0.2,34.742
9735,CA-2017-148446,2017-12-10,FUR-TA-10004256,1669.6,4,0.0,116.872
9734,US-2017-140907,2017-12-10,OFF-AR-10000799,18.24,3,0.0,5.2896
9733,CA-2017-143798,2017-12-10,OFF-PA-10000788,10.368,2,0.2,3.6288
9732,CA-2017-143798,2017-12-10,FUR-FU-10004306,310.88,2,0.2,23.316
9731,CA-2017-108294,2017-12-10,OFF-BI-10004965,34.5,3,0.0,15.525
9730,CA-2017-109960,2017-12-09,TEC-AC-10004859,104.88,6,0.0,41.952
9729,US-2017-167920,2017-12-09,OFF-BI-10004236,29.36,2,0.0,13.5056
9728,US-2017-167920,2017-12-09,OFF-AP-10000159,214.9,5,0.0,62.321
9727,US-2017-167920,2017-12-09,OFF-BI-10003274,15.92,4,0.0,7.4824
9726,CA-2017-139199,2017-12-09,OFF-PA-10001293,12.96,2,0.0,6.2208
9725,US-2017-167920,2017-12-09,OFF-ST-10004963,15.14,1,0.0,0.6056
9724,US-2017-167920,2017-12-09,OFF-LA-10004409,5.76,2,0.0,2.6496
9723,US-2017-167920,2017-12-09,TEC-CO-10001046,1399.98,2,0.0,629.991
9722,CA-2017-102659,2017-12-09,OFF-BI-10000088,54.9,5,0.0,26.901
9721,US-2017-132927,2017-12-09,OFF-BI-10001116,11.088,7,0.7,-8.1312
9720,CA-2017-148012,2017-12-09,OFF-AR-10004757,2.624,1,0.2,0.4264
9719,CA-2017-129833,2017-12-09,OFF-BI-10004182,10.4,5,0.0,5.096
9718,CA-2017-129833,2017-12-09,OFF-PA-10000575,33.45,5,0.0,15.387
9717,CA-2017-109960,2017-12-09,OFF-AR-10001860,34.7,5,0.0,12.492
9716,CA-2017-109960,2017-12-09,OFF-BI-10001636,33.72,4,0.0,15.5112
9715,CA-2017-109960,2017-12-09,OFF-PA-10000249,14.94,3,0.0,7.0218
9714,US-2017-103814,2017-12-09,OFF-PA-10001019,143.856,9,0.2,48.5514
9713,CA-2017-139402,2017-12-09,OFF-PA-10004359,419.4,5,0.2,146.79
9712,CA-2017-141201,2017-12-09,FUR-BO-10001519,148.257,3,0.15,15.6978
9711,US-2017-167920,2017-12-09,TEC-AC-10001013,146.45,5,0.0,48.3285
9710,CA-2017-139402,2017-12-09,OFF-BI-10000279,13.005,3,0.7,-9.9705
9709,US-2017-118038,2017-12-09,FUR-FU-10000260,9.708,3,0.6,-5.8248
9708,US-2017-145366,2017-12-09,OFF-EN-10004386,57.576,3,0.2,21.591
9707,US-2017-145366,2017-12-09,OFF-ST-10004180,37.208,1,0.2,-7.4416
9706,CA-2017-102407,2017-12-09,OFF-AR-10000122,11.16,2,0.0,2.79
9705,CA-2017-108329,2017-12-09,TEC-PH-10001918,444.768,4,0.2,44.4768
9704,CA-2017-102407,2017-12-09,OFF-AP-10001394,189.0,1,0.0,68.04
9703,US-2017-118038,2017-12-09,OFF-BI-10004182,1.248,3,0.8,-1.9344
9702,CA-2017-102407,2017-12-09,FUR-TA-10003748,896.328,9,0.2,22.4082
9701,CA-2017-139199,2017-12-09,FUR-CH-10000847,872.94,3,0.0,226.9644
9700,CA-2017-109715,2017-12-09,OFF-PA-10004965,15.984,2,0.2,4.995
9699,US-2017-118038,2017-12-09,OFF-ST-10000615,27.24,3,0.2,2.724
9698,CA-2017-139199,2017-12-09,OFF-BI-10003982,41.54,2,0.0,19.5238
9697,CA-2017-117457,2017-12-08,TEC-AC-10000158,179.95,5,0.0,37.7895
9696,CA-2017-117324,2017-12-08,OFF-AP-10003590,1089.75,3,0.0,305.13
9695,CA-2017-117324,2017-12-08,OFF-LA-10003510,61.06,2,0.0,28.0876
9694,CA-2017-108854,2017-12-08,OFF-ST-10001837,42.76,1,0.0,11.1176
9693,CA-2017-152436,2017-12-08,OFF-ST-10000036,592.74,6,0.0,160.0398
9692,CA-2017-108854,2017-12-08,OFF-BI-10001670,90.48,3,0.2,33.93
9691,CA-2017-108854,2017-12-08,OFF-BI-10002854,22.424,1,0.2,8.409
9690,CA-2017-108854,2017-12-08,OFF-PA-10003022,87.92,4,0.0,40.4432
9689,US-2017-131961,2017-12-08,OFF-AR-10004441,13.248,4,0.2,3.6432
9688,US-2017-131961,2017-12-08,TEC-PH-10001924,83.988,2,0.4,-20.997
9687,CA-2017-117457,2017-12-08,OFF-PA-10003724,27.15,5,0.0,13.3035
9686,CA-2017-117926,2017-12-08,OFF-AP-10002670,69.48,1,0.0,20.844
9685,CA-2017-117324,2017-12-08,FUR-BO-10003159,459.92,4,0.0,41.3928
9684,CA-2017-117457,2017-12-08,TEC-CO-10004115,1199.976,3,0.2,434.9913
9683,CA-2017-117457,2017-12-08,OFF-LA-10003766,28.35,9,0.0,13.608
